TIMESTAMP_1,_Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,PPFD_1_1_1,P_1_1_1,P_rain_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,umol+1m-2s-1,mm,mm
2015-10-29 0030,-4.4025,87.17583,5.253686,220.1688,290.4561,5.253686,0.283987,0.4272276,0,0
2015-10-29 0100,-4.711667,88.31333,5.584295,219.2716,286.7281,5.584295,0.2185979,0.459778,0,0
2015-10-29 0130,-4.32,87.45417,5.160504,218.2281,285.0197,5.160504,0.4649225,0.4654037,0,0
2015-10-29 0200,-4.8575,88.12083,5.025037,217.7474,284.4076,5.025037,0.358793,0.3521621,0,0
2015-10-29 0230,-4.999166,88.00999,5.415052,217.3063,284.4727,5.415052,0.03938999,0.4206031,0,0
2015-10-29 0300,-5.424166,88.7325,5.313981,217.0072,283.7377,5.313981,0.2707199,0.3622859,0,0
2015-10-29 0330,-5.44,89.50667,5.333834,217.0707,282.7088,5.333834,0.1899428,0.4710848,0,0
2015-10-29 0400,-5.326667,88.49332,5.396322,217.4376,281.224,5.396322,0.2593771,0.2972322,0,0
2015-10-29 0430,-5.340833,89.355,5.31874,218.2489,282.1448,5.31874,0.3228026,0.3522009,0,0
2015-10-29 0500,-5.761666,89.36666,5.333711,218.4629,281.0944,5.333711,0.1749254,0.4015794,0,0
2015-10-29 0530,-6.153333,90.23,6.235186,217.5258,279.5038,6.235186,0.7751958,0.4621636,0,0
2015-10-29 0600,-6.143333,90.05582,5.330671,217.4278,278.7038,5.330671,0.06810714,0.4072146,0,0
2015-10-29 0630,-6.128333,89.40583,5.271887,218.9795,279.7881,5.271887,0.04507418,0.4924951,0,0
2015-10-29 0700,-6.3825,89.63499,5.750535,222.4527,279.8133,5.750535,0.2106835,0.4386568,0,0
2015-10-29 0730,-7.194167,87.99083,5.296689,221.3299,279.243,5.296689,0.0647752,0.8391687,0,0
2015-10-29 0800,-7.195,91.18417,5.443163,221.6261,277.8925,5.443163,0.4654476,13.02011,0,0
2015-10-29 0830,-6.626666,90.66084,7.683295,226.6829,279.8063,7.683295,2.572438,62.23682,0,0
2015-10-29 0900,-4.676666,87.12167,77.44303,233.6996,286.4776,77.44303,9.942637,138.9643,0,0
2015-10-29 0930,-3.641667,84.92833,119.4654,240.537,296.9849,119.4654,19.63741,174.5401,0,0
2015-10-29 1000,-3.054167,82.76416,103.1501,242.6509,302.7749,103.1501,20.67592,209.7486,0,0
2015-10-29 1030,-2.3225,81.33666,116.2321,243.3341,305.4778,116.2321,23.71604,267.9496,0,0
2015-10-29 1100,-1.9725,80.6025,147.9157,259.0489,310.4058,147.9157,29.99148,216.5759,0,0
2015-10-29 1130,-1.426667,78.75249,107.7077,271.9179,311.8151,107.7077,22.84339,276.1073,0,0
2015-10-29 1200,-0.98,78.555,133.4884,269.2927,313.9159,133.4884,26.62919,370.4121,0,0
2015-10-29 1230,-0.5583333,77.94499,186.3484,264.2214,316.3129,186.3484,33.11993,347.3234,0,0
2015-10-29 1300,-0.0675,77.93333,182.1078,266.1629,317.263,182.1078,30.40831,301.6482,0,0
2015-10-29 1330,0.5058333,75.96083,164.6133,271.1077,318.6685,164.6133,26.31118,352.8099,0,0
2015-10-29 1400,1.408333,69.34834,197.1011,269.4182,321.7671,197.1011,31.37332,423.9276,0,0
2015-10-29 1430,1.970833,66.46166,238.7291,268.0479,325.6095,238.7291,38.7543,375.1986,0,0
